name;prop;#initonly;#finalOnly;#noChange;#change;#tool;#method;#time;mem MB;#ans
5Bbnplanet.gml;((((((((((((((WP(65-148) | WP(99-148)) | WP(131-148)) | WP(7-148)) | WP(40-148)) | WP(137-148)) | WP(74-148)) | WP(142-148)) | WP(17-148)) | WP(51-148)) | WP(152-148)) | WP(89-148)) | WP(123-148)) | WP(28-148)) & (Reach 148));24;24;18;6;kaki;base;10.009;572.308;True
5Bellsouth.gml;((((((((((((((((((WP(257-291) | WP(195-291)) | WP(101-291)) | WP(294-291)) | WP(199-291)) | WP(39-291)) | WP(137-291)) | WP(10-291)) | WP(265-291)) | WP(202-291)) | WP(235-291)) | WP(61-291)) | WP(93-291)) | WP(148-291)) | WP(189-291)) | WP(87-291)) | WP(152-291)) | WP(253-291)) & (Reach 291));6;12;36;6;kaki;base;6.155666666666666;487.4973333333333;True
5Belnet2003.gml;((((((WP(27-137) | WP(50-137)) | WP(52-137)) | WP(120-137)) | WP(91-137)) | WP(29-137)) & (Reach 137));6;6;12;6;kaki;base;0.5666666666666668;194.62133333333335;True
5Belnet2004.gml;((((((WP(27-137) | WP(50-137)) | WP(52-137)) | WP(120-137)) | WP(91-137)) | WP(29-137)) & (Reach 137));6;6;12;6;kaki;base;0.5823333333333333;197.32399999999998;True
5Belnet2005.gml;((((((WP(27-137) | WP(50-137)) | WP(52-137)) | WP(120-137)) | WP(91-137)) | WP(29-137)) & (Reach 137));7;7;11;6;kaki;base;0.5803333333333334;209.32799999999997;True
5Belnet2006.gml;((((((WP(27-137) | WP(50-137)) | WP(52-137)) | WP(120-137)) | WP(91-137)) | WP(29-137)) & (Reach 137));7;7;11;6;kaki;base;0.5873333333333334;206.89466666666667;True
5Belnet2009.gml;((((((((((((((((((WP(64-114) | WP(5-114)) | WP(102-114)) | WP(71-114)) | WP(72-114)) | WP(122-114)) | WP(74-114)) | WP(107-114)) | WP(42-114)) | WP(46-114)) | WP(110-114)) | WP(17-114)) | WP(54-114)) | WP(24-114)) | WP(25-114)) | WP(90-114)) | WP(27-114)) | WP(29-114)) & (Reach 114));36;42;6;6;kaki;base;8.264;652.148;True
5BeyondTheNetwork.gml;((((((((((((((((((WP(153-291) | WP(165-291)) | WP(262-291)) | WP(199-291)) | WP(104-291)) | WP(77-291)) | WP(238-291)) | WP(47-291)) | WP(208-291)) | WP(146-291)) | WP(308-291)) | WP(247-291)) | WP(312-291)) | WP(25-291)) | WP(154-291)) | WP(283-291)) | WP(60-291)) | WP(61-291)) & (Reach 291));14;21;28;6;kaki;base;11.860999999999999;569.648;True
5Bics.gml;(((((((((((((((((((((WP(133-193) | WP(137-193)) | WP(16-193)) | WP(146-193)) | WP(24-193)) | WP(39-193)) | WP(40-193)) | WP(170-193)) | WP(171-193)) | WP(52-193)) | WP(181-193)) | WP(187-193)) | WP(63-193)) | WP(71-193)) | WP(73-193)) | WP(85-193)) | WP(95-193)) | WP(99-193)) | WP(106-193)) | WP(113-193)) | WP(127-193)) & (Reach 193));27;30;21;6;kaki;base;4.813666666666666;419.26399999999995;True
5Bren.gml;((((((((((((((((((((((WP(128-221) | WP(2-221)) | WP(3-221)) | WP(132-221)) | WP(139-221)) | WP(147-221)) | WP(148-221)) | WP(151-221)) | WP(158-221)) | WP(36-221)) | WP(47-221)) | WP(59-221)) | WP(187-221)) | WP(188-221)) | WP(71-221)) | WP(72-221)) | WP(201-221)) | WP(85-221)) | WP(221-221)) | WP(99-221)) | WP(101-221)) | WP(109-221)) & (Reach 221));24;36;18;12;kaki;base;0.445;120.21066666666667;True
5BsonetEurope.gml;((((((((((WP(102-106) | WP(107-106)) | WP(46-106)) | WP(17-106)) | WP(83-106)) | WP(52-106)) | WP(55-106)) | WP(27-106)) | WP(62-106)) | WP(31-106)) & (Reach 106));10;10;26;6;kaki;base;0.32966666666666666;98.79333333333334;True
5BtAsiaPac.gml;(((((WP(100-119) | WP(40-119)) | WP(80-119)) | WP(20-119)) | WP(60-119)) & (Reach 119));6;6;18;6;kaki;base;0.2813333333333334;92.072;True
5BtEurope.gml;(((((WP(134-140) | WP(110-140)) | WP(86-140)) | WP(24-140)) | WP(62-140)) & (Reach 140));6;6;18;6;kaki;base;0.30666666666666664;92.06133333333334;True
5Canerie.gml;(((((((((((((((((((((((WP(3-190) | WP(131-190)) | WP(135-190)) | WP(7-190)) | WP(145-190)) | WP(29-190)) | WP(163-190)) | WP(36-190)) | WP(167-190)) | WP(174-190)) | WP(49-190)) | WP(59-190)) | WP(190-190)) | WP(63-190)) | WP(71-190)) | WP(78-190)) | WP(81-190)) | WP(93-190)) | WP(95-190)) | WP(101-190)) | WP(111-190)) | WP(123-190)) | WP(126-190)) & (Reach 190));17;34;21;16;kaki;base;0.5733333333333334;131.364;True
5Cesnet2001.gml;(((((WP(69-132) | WP(46-132)) | WP(115-132)) | WP(23-132)) | WP(92-132)) & (Reach 132));5;5;20;5;kaki;base;0.27466666666666667;90.05066666666666;True
5Cesnet200304.gml;((((((((((((((((WP(32-168) | WP(129-168)) | WP(67-168)) | WP(71-168)) | WP(169-168)) | WP(138-168)) | WP(112-168)) | WP(81-168)) | WP(80-168)) | WP(116-168)) | WP(22-168)) | WP(54-168)) | WP(24-168)) | WP(151-168)) | WP(93-168)) | WP(158-168)) & (Reach 168));9;12;24;9;kaki;base;48.32633333333334;354.20133333333337;True
5Cesnet200511.gml;(((((((((((WP(162-214) | WP(3-214)) | WP(163-214)) | WP(134-214)) | WP(198-214)) | WP(140-214)) | WP(78-214)) | WP(48-214)) | WP(113-214)) | WP(210-214)) | WP(58-214)) & (Reach 214));12;12;30;6;kaki;base;0.332;97.50133333333333;True
5Cesnet200603.gml;(((((((((((WP(162-214) | WP(3-214)) | WP(163-214)) | WP(134-214)) | WP(198-214)) | WP(140-214)) | WP(78-214)) | WP(48-214)) | WP(113-214)) | WP(210-214)) | WP(58-214)) & (Reach 214));12;12;30;6;kaki;base;0.3243333333333333;98.38;True
5Cesnet200706.gml;((((((((((((((((WP(160-258) | WP(259-258)) | WP(260-258)) | WP(39-258)) | WP(41-258)) | WP(171-258)) | WP(172-258)) | WP(236-258)) | WP(51-258)) | WP(116-258)) | WP(85-258)) | WP(182-258)) | WP(88-258)) | WP(185-258)) | WP(60-258)) | WP(126-258)) & (Reach 258));10;16;26;6;kaki;base;6.713666666666666;477.22133333333335;True
5Cesnet201006.gml;(((((((((((((((WP(226-306) | WP(100-306)) | WP(260-306)) | WP(140-306)) | WP(204-306)) | WP(47-306)) | WP(307-306)) | WP(52-306)) | WP(150-306)) | WP(278-306)) | WP(151-306)) | WP(217-306)) | WP(122-306)) | WP(156-306)) | WP(255-306)) & (Reach 306));16;19;17;9;kaki;base;0.3913333333333333;108.75200000000001;True
5Chinanet.gml;(((((((((((WP(128-247) | WP(37-247)) | WP(201-247)) | WP(170-247)) | WP(44-247)) | WP(80-247)) | WP(144-247)) | WP(212-247)) | WP(86-247)) | WP(247-247)) | WP(92-247)) & (Reach 247));6;12;18;6;kaki;base;0.33166666666666667;95.70533333333333;True
