name;prop;#initonly;#finalOnly;#noChange;#change;#tool;#method;#time;mem MB;#ans
5Cesnet201006.gml;(Reach 306);16;19;17;9;reduce=True;VerifyMethod.allSymbolic;0.011687437693277935;89.83333333333333;True
5Chinanet.gml;(Reach 247);6;12;18;6;reduce=True;VerifyMethod.allSymbolic;0.005963246027628567;89.48533333333334;True
5Claranet.gml;(Reach 88);6;12;18;6;reduce=True;VerifyMethod.allSymbolic;0.0061422983805338;87.87733333333334;True
5Cogentco.gml;(Reach 1167);96;114;60;18;reduce=True;VerifyMethod.allSymbolic;0.07839616139729814;96.86533333333334;True
5Colt.gml;(Reach 860);72;111;30;24;reduce=True;VerifyMethod.allSymbolic;0.10626443227132155;95.12;True
5Columbus.gml;(Reach 414);78;102;24;12;reduce=True;VerifyMethod.allSymbolic;0.04755036036173497;89.95466666666668;True
5Compuserve.gml;(Reach 81);16;21;8;6;reduce=True;VerifyMethod.allSymbolic;0.006121555964151967;87.97333333333334;True
5CrlNetworkServices.gml;(Reach 195);45;59;13;8;reduce=True;VerifyMethod.allSymbolic;0.01849365234374997;88.80533333333334;True
5Cwix.gml;(Reach 209);34;37;13;7;reduce=True;VerifyMethod.allSymbolic;0.007852951685587533;88.98133333333334;True
5Darkstrand.gml;(Reach 162);60;66;6;6;reduce=True;VerifyMethod.allSymbolic;0.008957624435424734;88.41466666666668;True
5Dataxchange.gml;(Reach 35);0;2;16;2;reduce=True;VerifyMethod.allSymbolic;0.004841566085815367;87.73466666666667;True
5Deltacom.gml;(Reach 673);78;90;54;12;reduce=True;VerifyMethod.allSymbolic;0.0366599559783935;91.15866666666666;True
5Dfn.gml;(Reach 347);25;25;6;11;reduce=True;VerifyMethod.allSymbolic;0.0140562057495117;89.796;True
5Digex.gml;(Reach 182);54;60;6;6;reduce=True;VerifyMethod.allSymbolic;0.008162419001261367;88.78133333333334;True
5Easynet.gml;(Reach 107);9;18;21;12;reduce=True;VerifyMethod.allSymbolic;0.0174334049224853;88.21066666666667;True
5EliBackbone.gml;(Reach 112);15;22;10;17;reduce=True;VerifyMethod.allSymbolic;0.03319923082987464;89.08;True
5Epoch.gml;(Reach 35);11;11;7;6;reduce=True;VerifyMethod.allSymbolic;0.005804618199666299;87.69333333333333;True
5Ernet.gml;(Reach 168);6;6;30;6;reduce=True;VerifyMethod.allSymbolic;0.0060267448425292336;88.49733333333334;True
5Esnet.gml;(Reach 397);40;47;12;8;reduce=True;VerifyMethod.allSymbolic;0.015742142995198532;89.80533333333334;True
5Evolink.gml;(Reach 213);36;36;12;12;reduce=True;VerifyMethod.allSymbolic;0.017715215682983367;89.81066666666668;True
5Fatman.gml;(Reach 91);6;12;24;6;reduce=True;VerifyMethod.allSymbolic;0.006325244903564433;88.09866666666666;True
5Fccn.gml;(Reach 134);0;6;30;6;reduce=True;VerifyMethod.allSymbolic;0.006159464518229099;88.49333333333334;True
5Forthnet.gml;(Reach 363);0;6;42;6;reduce=True;VerifyMethod.allSymbolic;0.006970643997192366;90.02;True
5Funet.gml;(Reach 151);42;48;12;6;reduce=True;VerifyMethod.allSymbolic;0.007758617401122967;88.58;True
5Gambia.gml;(Reach 159);6;18;42;6;reduce=True;VerifyMethod.allSymbolic;0.007168928782145134;88.52933333333333;True
5Garr200212.gml;(Reach 154);6;6;18;6;reduce=True;VerifyMethod.allSymbolic;0.005922158559163366;89.08133333333335;True
5Garr200902.gml;(Reach 321);12;17;25;11;reduce=True;VerifyMethod.allSymbolic;0.016734838485717732;89.81333333333333;True
